header,group,type,sample
Strap Type,Product Details,System.String,"basic, spaghetti"
Strap Type,Product Details,System.String,"basic, spaghetti"
Display Type,Product Details,System.String,"Analog, Digital"
Calendar Type,Product Details,System.String,Date And Month
Dial Window Material Type,Product Details,System.String,Mineral
Case Diameter,Product Details,System.String,42.5
Case Diameter Unit,Product Details,System.String,millimeters
Case Material Type,Product Details,System.String,Copper
Case Thickness,Product Details,System.String,13.55
Case Thickness Unit,Product Details,System.String,millimeters
Dial Colour,Product Details,System.String,Purple
Warranty Type,Product Details,System.String,Manufacturer
Watch Movement,Product Details,System.String,Quartz
Water Resistance Depth,Product Details,System.String,"50.0, 15.0"
Water Resistance Depth Unit,Product Details,System.String,"Metres, Feet"
Power Source,Product Details,System.String,"Battery, Gas"
Series Number,Product Details,System.String,4
Dial Size Decimal Value,Product Details,System.String,"3/16, 0.25"
Dial Size Unit,Product Details,System.String,"Inches, Millimeters"
Band Length,Product Details,System.String,9.0000
